period,Industry,GDP
2018_Q1,"Motor vehicles, bodies and trailers, and parts",723.4
2018_Q2,"Motor vehicles, bodies and trailers, and parts",733.3
2018_Q3,"Motor vehicles, bodies and trailers, and parts",765.9
2018_Q4,"Motor vehicles, bodies and trailers, and parts",786.4
2019_Q1,"Motor vehicles, bodies and trailers, and parts",791.4
2019_Q2,"Motor vehicles, bodies and trailers, and parts",793.8
2019_Q3,"Motor vehicles, bodies and trailers, and parts",795.2
2019_Q4,"Motor vehicles, bodies and trailers, and parts",766.9
2020_Q1,"Motor vehicles, bodies and trailers, and parts",716.6
2020_Q2,"Motor vehicles, bodies and trailers, and parts",495.9
2015_Q1,Other transportation equipment,333.2
2015_Q2,Other transportation equipment,338.0
2015_Q3,Other transportation equipment,333.6
2015_Q4,Other transportation equipment,327.7
2016_Q1,Other transportation equipment,316.7
2016_Q2,Other transportation equipment,309.7
2016_Q3,Other transportation equipment,318.4
2016_Q4,Other transportation equipment,320.5
2017_Q1,Other transportation equipment,326.9
2017_Q2,Other transportation equipment,323.7
2017_Q3,Other transportation equipment,348.4
2017_Q4,Other transportation equipment,341.1
2018_Q1,Other transportation equipment,339.8
2018_Q2,Other transportation equipment,326.7
2018_Q3,Other transportation equipment,357.5
2018_Q4,Other transportation equipment,376.7
2019_Q1,Other transportation equipment,389.0
2019_Q2,Other transportation equipment,357.7
2019_Q3,Other transportation equipment,343.8
2019_Q4,Other transportation equipment,350.8
2020_Q1,Other transportation equipment,336.0
2020_Q2,Other transportation equipment,250.6
2015_Q1,Furniture and related products,71.0
2015_Q2,Furniture and related products,73.9
2015_Q3,Furniture and related products,75.4
2015_Q4,Furniture and related products,74.8
2016_Q1,Furniture and related products,74.9
2016_Q2,Furniture and related products,74.4
2016_Q3,Furniture and related products,73.6
2016_Q4,Furniture and related products,74.2
2017_Q1,Furniture and related products,73.8
2017_Q2,Furniture and related products,73.7
2017_Q3,Furniture and related products,75.3
2017_Q4,Furniture and related products,76.1
2018_Q1,Furniture and related products,77.2
2018_Q2,Furniture and related products,77.7
2018_Q3,Furniture and related products,78.2
2018_Q4,Furniture and related products,79.5
2019_Q1,Furniture and related products,81.4
2019_Q2,Furniture and related products,82.8
2019_Q3,Furniture and related products,82.6
2019_Q4,Furniture and related products,83.3
2020_Q1,Furniture and related products,83.1
2020_Q2,Furniture and related products,76.1
2015_Q1,Miscellaneous manufacturing,166.6
2015_Q2,Miscellaneous manufacturing,164.1
2015_Q3,Miscellaneous manufacturing,164.7
2015_Q4,Miscellaneous manufacturing,169.7
2016_Q1,Miscellaneous manufacturing,168.1
2016_Q2,Miscellaneous manufacturing,171.5
2016_Q3,Miscellaneous manufacturing,166.2
2016_Q4,Miscellaneous manufacturing,161.8
2017_Q1,Miscellaneous manufacturing,159.7
2017_Q2,Miscellaneous manufacturing,160.5
2017_Q3,Miscellaneous manufacturing,161.2
2017_Q4,Miscellaneous manufacturing,164.1
2018_Q1,Miscellaneous manufacturing,167.6
2018_Q2,Miscellaneous manufacturing,171.3
2018_Q3,Miscellaneous manufacturing,171.2
2018_Q4,Miscellaneous manufacturing,171.4
2019_Q1,Miscellaneous manufacturing,171.6
2019_Q2,Miscellaneous manufacturing,174.1
2019_Q3,Miscellaneous manufacturing,173.2
2019_Q4,Miscellaneous manufacturing,174.1
2020_Q1,Miscellaneous manufacturing,175.2
2020_Q2,Miscellaneous manufacturing,181.7
2015_Q1,Nondurable goods,2822.9
2015_Q2,Nondurable goods,2843.0
2015_Q3,Nondurable goods,2822.0
2015_Q4,Nondurable goods,2725.6
2016_Q1,Nondurable goods,2649.2
2016_Q2,Nondurable goods,2701.6
2016_Q3,Nondurable goods,2718.2
2016_Q4,Nondurable goods,2754.6
2017_Q1,Nondurable goods,2833.7
2017_Q2,Nondurable goods,2814.6
2017_Q3,Nondurable goods,2832.3
2017_Q4,Nondurable goods,2940.2
2018_Q1,Nondurable goods,3012.1
2018_Q2,Nondurable goods,3055.9
2018_Q3,Nondurable goods,3086.4
2018_Q4,Nondurable goods,3065.7
2019_Q1,Nondurable goods,3018.2
2019_Q2,Nondurable goods,3046.6
2019_Q3,Nondurable goods,3026.4
2019_Q4,Nondurable goods,3019.6
2020_Q1,Nondurable goods,2990.2
2020_Q2,Nondurable goods,2639.5
2015_Q1,Food and beverage and tobacco products,949.3
2015_Q2,Food and beverage and tobacco products,943.9
2015_Q3,Food and beverage and tobacco products,948.3
2015_Q4,Food and beverage and tobacco products,943.4
2016_Q1,Food and beverage and tobacco products,933.4
2016_Q2,Food and beverage and tobacco products,933.3
2016_Q3,Food and beverage and tobacco products,940.1
2016_Q4,Food and beverage and tobacco products,940.0
2017_Q1,Food and beverage and tobacco products,948.4
2017_Q2,Food and beverage and tobacco products,958.1
2017_Q3,Food and beverage and tobacco products,955.6
2017_Q4,Food and beverage and tobacco products,949.2
2018_Q1,Food and beverage and tobacco products,954.0
2018_Q2,Food and beverage and tobacco products,955.3
2018_Q3,Food and beverage and tobacco products,959.8
2018_Q4,Food and beverage and tobacco products,953.1
2019_Q1,Food and beverage and tobacco products,964.7
2019_Q2,Food and beverage and tobacco products,966.5
2019_Q3,Food and beverage and tobacco products,977.0
2019_Q4,Food and beverage and tobacco products,970.7
2020_Q1,Food and beverage and tobacco products,975.6
2020_Q2,Food and beverage and tobacco products,959.5
2015_Q1,Textile mills and textile product mills,55.0
2015_Q2,Textile mills and textile product mills,53.2
2015_Q3,Textile mills and textile product mills,53.7
2015_Q4,Textile mills and textile product mills,52.2
2016_Q1,Textile mills and textile product mills,52.9
2016_Q2,Textile mills and textile product mills,52.7
2016_Q3,Textile mills and textile product mills,51.8
2016_Q4,Textile mills and textile product mills,51.8
2017_Q1,Textile mills and textile product mills,51.5
2017_Q2,Textile mills and textile product mills,50.3
2017_Q3,Textile mills and textile product mills,49.1
2017_Q4,Textile mills and textile product mills,48.7
2018_Q1,Textile mills and textile product mills,49.5
2018_Q2,Textile mills and textile product mills,49.8
2018_Q3,Textile mills and textile product mills,50.5
2018_Q4,Textile mills and textile product mills,50.5
2019_Q1,Textile mills and textile product mills,50.5
2019_Q2,Textile mills and textile product mills,49.5
2019_Q3,Textile mills and textile product mills,49.7
2019_Q4,Textile mills and textile product mills,48.5
2020_Q1,Textile mills and textile product mills,47.3
2020_Q2,Textile mills and textile product mills,41.8
2015_Q1,Apparel and leather and allied products,18.6
2015_Q2,Apparel and leather and allied products,18.4
2015_Q3,Apparel and leather and allied products,18.7
2015_Q4,Apparel and leather and allied products,18.9
2016_Q1,Apparel and leather and allied products,18.4
2016_Q2,Apparel and leather and allied products,19.1
2016_Q3,Apparel and leather and allied products,18.7
2016_Q4,Apparel and leather and allied products,18.5
2017_Q1,Apparel and leather and allied products,19.0
2017_Q2,Apparel and leather and allied products,18.7
2017_Q3,Apparel and leather and allied products,18.7
2017_Q4,Apparel and leather and allied products,18.3
2018_Q1,Apparel and leather and allied products,19.4
2018_Q2,Apparel and leather and allied products,19.7
2018_Q3,Apparel and leather and allied products,20.5
2018_Q4,Apparel and leather and allied products,19.8
2019_Q1,Apparel and leather and allied products,20.3
2019_Q2,Apparel and leather and allied products,20.3
2019_Q3,Apparel and leather and allied products,19.8
2019_Q4,Apparel and leather and allied products,19.7
2020_Q1,Apparel and leather and allied products,19.1
2020_Q2,Apparel and leather and allied products,18.3
2015_Q1,Paper products,182.7
2015_Q2,Paper products,184.8
